32 18 40
0.000000 0.285714 0.090909 0.428571
0.090909 0.285714 0.181818 0.428571
0.090909 0.285714 0.181818 0.428571
0.090909 0.285714 0.181818 0.428571
0.090909 0.285714 0.181818 0.428571
0.090909 0.285714 0.181818 0.428571
0.090909 0.285714 0.181818 0.428571
0.090909 0.285714 0.181818 0.428571
0.090909 0.285714 0.181818 0.428571
0.090909 0.285714 0.181818 0.428571
0.090909 0.285714 0.181818 0.428571
0.090909 0.285714 0.181818 0.428571
0.090909 0.285714 0.181818 0.428571
0.090909 0.285714 0.181818 0.428571
0.090909 0.285714 0.181818 0.428571
0.090909 0.285714 0.181818 0.428571
0.181818 0.285714 0.272727 0.428571
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.142857 0.090909 0.285714
0.090909 0.142857 0.181818 0.285714
0.090909 0.142857 0.181818 0.285714
0.090909 0.142857 0.181818 0.285714
0.090909 0.142857 0.181818 0.285714
0.090909 0.142857 0.181818 0.285714
0.090909 0.142857 0.181818 0.285714
0.090909 0.142857 0.181818 0.285714
0.090909 0.142857 0.181818 0.285714
0.090909 0.142857 0.181818 0.285714
0.090909 0.142857 0.181818 0.285714
0.090909 0.142857 0.181818 0.285714
0.090909 0.142857 0.181818 0.285714
0.090909 0.142857 0.181818 0.285714
0.090909 0.142857 0.181818 0.285714
0.090909 0.142857 0.181818 0.285714
0.181818 0.142857 0.272727 0.285714
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.142857 0.090909 0.285714
0.090909 0.142857 0.181818 0.285714
0.090909 0.142857 0.181818 0.285714
0.090909 0.142857 0.181818 0.285714
0.090909 0.142857 0.181818 0.285714
0.090909 0.142857 0.181818 0.285714
0.090909 0.142857 0.181818 0.285714
0.090909 0.142857 0.181818 0.285714
0.090909 0.142857 0.181818 0.285714
0.090909 0.142857 0.181818 0.285714
0.090909 0.142857 0.181818 0.285714
0.090909 0.142857 0.181818 0.285714
0.090909 0.142857 0.181818 0.285714
0.090909 0.142857 0.181818 0.285714
0.090909 0.142857 0.181818 0.285714
0.090909 0.142857 0.181818 0.285714
0.181818 0.142857 0.272727 0.285714
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.142857 0.090909 0.285714
0.090909 0.142857 0.181818 0.285714
0.090909 0.142857 0.181818 0.285714
0.090909 0.142857 0.181818 0.285714
0.090909 0.142857 0.181818 0.285714
0.090909 0.142857 0.181818 0.285714
0.090909 0.142857 0.181818 0.285714
0.090909 0.142857 0.181818 0.285714
0.090909 0.142857 0.181818 0.285714
0.090909 0.142857 0.181818 0.285714
0.090909 0.142857 0.181818 0.285714
0.090909 0.142857 0.181818 0.285714
0.090909 0.142857 0.181818 0.285714
0.090909 0.142857 0.181818 0.285714
0.090909 0.142857 0.181818 0.285714
0.090909 0.142857 0.181818 0.285714
0.181818 0.142857 0.272727 0.285714
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.142857 0.090909 0.285714
0.090909 0.142857 0.181818 0.285714
0.090909 0.142857 0.181818 0.285714
0.090909 0.142857 0.181818 0.285714
0.090909 0.142857 0.181818 0.285714
0.090909 0.142857 0.181818 0.285714
0.090909 0.142857 0.181818 0.285714
0.090909 0.142857 0.181818 0.285714
0.090909 0.142857 0.181818 0.285714
0.090909 0.142857 0.181818 0.285714
0.090909 0.142857 0.181818 0.285714
0.090909 0.142857 0.181818 0.285714
0.090909 0.142857 0.181818 0.285714
0.090909 0.142857 0.181818 0.285714
0.090909 0.142857 0.181818 0.285714
0.090909 0.142857 0.181818 0.285714
0.181818 0.142857 0.272727 0.285714
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.142857 0.090909 0.285714
0.090909 0.142857 0.181818 0.285714
0.090909 0.142857 0.181818 0.285714
0.090909 0.142857 0.181818 0.285714
0.090909 0.142857 0.181818 0.285714
0.090909 0.142857 0.181818 0.285714
0.090909 0.142857 0.181818 0.285714
0.090909 0.142857 0.181818 0.285714
0.090909 0.142857 0.181818 0.285714
0.090909 0.142857 0.181818 0.285714
0.090909 0.142857 0.181818 0.285714
0.090909 0.142857 0.181818 0.285714
0.090909 0.142857 0.181818 0.285714
0.090909 0.142857 0.181818 0.285714
0.090909 0.142857 0.181818 0.285714
0.090909 0.142857 0.181818 0.285714
0.181818 0.142857 0.272727 0.285714
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.142857 0.090909 0.285714
0.090909 0.142857 0.181818 0.285714
0.090909 0.142857 0.181818 0.285714
0.090909 0.142857 0.181818 0.285714
0.090909 0.142857 0.181818 0.285714
0.090909 0.142857 0.181818 0.285714
0.090909 0.142857 0.181818 0.285714
0.090909 0.142857 0.181818 0.285714
0.090909 0.142857 0.181818 0.285714
0.090909 0.142857 0.181818 0.285714
0.090909 0.142857 0.181818 0.285714
0.090909 0.142857 0.181818 0.285714
0.090909 0.142857 0.181818 0.285714
0.090909 0.142857 0.181818 0.285714
0.090909 0.142857 0.181818 0.285714
0.090909 0.142857 0.181818 0.285714
0.181818 0.142857 0.272727 0.285714
0.000000 0.000000 0.000000 0.000000
